----------------------------------------------------------------------------
## To change the localised text simply change the name after the single '|'
## Do not change anything in the 'Keys' collumn or the translation will fail
## Do not change / delete any line numbers or add new lines in the file.
----------------------------------------------------------------------------

----------------------------------------------------------------------------
KEYS						Translation
----------------------------------------------------------------------------
MSQ_Quest00					|Une seconde chance
MSQ_Quest01					|Vivez une nouvelle vie
MSQ_Quest02					|Libération
MSQ_Quest03					|Avant la tempête
MSQ_Quest04					|Tertre des Chutes tourmentées
MSQ_Quest05					|L'élévation du dragon
MSQ_Quest06					|The Way of the Voice
MSQ_Quest07					|La corne de Jurgen Parlevent
MSQ_Quest08					|Une Lame dans l'ombre
MSQ_Quest09					|Immunité diplomatique
MSQ_Quest10					|Coincé dans la Souricière
MSQ_Quest11					|Le mur d'Alduin
MSQ_Quest12					|La Gorge du Monde
MSQ_Quest13					|Le savoir des anciens
MSQ_Quest14					|Le trépas d'Alduin
MSQ_Quest15					|Le Déchu
MSQ_Quest16					|La saison éternelle
MSQ_Quest17					|Paarthurnax
MSQ_Quest18					|Le repaire du monstre
MSQ_Quest19					|Sovngarde
MSQ_Quest20					|La chasse au dragon
----------------------------------------------------------------------------
CWQuest00					|Dans la Légion
CWQuest01					|La Couronne d'os
CWQuest02					|Un message pour Blancherive
CWQuest03					|La bataille de Blancherive
CWQuest04					|La réunification de Bordeciel
CWQuest05					|La bataille de Vendeaume
CWQuest06					|Falsification
CWQuest07					|Un lourd tribut
CWQuest08					|Tenue de gala
CWQuest09					|Libération : Fort Kastav
CWQuest10					|La bataille de Fort Amol
CWQuest11					|La bataille de Fort Dunstad
CWQuest12					|La bataille de Fort Tiremuraille
CWQuest13					|La bataille du Fort Néograd
CWQuest14					|La bataille de Fort Busard
CWQuest15					|La bataille de Fort Gardesol
CWQuest16					|Avec les Sombrages
CWQuest17					|La Couronne d'os
CWQuest18					|Un message pour Blancherive
CWQuest19					|La bataille de Blancherive
CWQuest20					|La libération de Bordeciel
CWQuest21					|La bataille de Solitude
CWQuest22					|Falsification
CWQuest23					|Un lourd tribut
CWQuest24					|Libération : Fort Néograd
CWQuest25					|La bataille de Fort Dunstad
CWQuest26					|La bataille de Fort Tiremuraille
CWQuest27					|La bataille de Fort Hraggstad
CWQuest28					|La bataille de Fort Kastav
CWQuest29					|La bataille de Fort Busard
CWQuest30					|La bataille de Fort Gardesol
----------------------------------------------------------------------------
Main_DG_Quest00				|Garde de l'Aube
Main_DG_Quest01				|Prise de conscience
Main_DG_Quest02				|Lignée
Main_DG_Quest03				|Un ordre nouveau
Main_DG_Quest04				|La Prophétie
Main_DG_Quest05				|Le Calice de Pierresang
Main_DG_Quest06				|La Prophétie
Main_DG_Quest07				|À la poursuite des échos
Main_DG_Quest08				|Recherche de parchemin
Main_DG_Quest09				|Au-delà de la mort
Main_DG_Quest10				|À la recherche d'une révélation
Main_DG_Quest11				|Visions inédites
Main_DG_Quest12				|Toucher le ciel
Main_DG_Quest13				|Jugement d'un pair
----------------------------------------------------------------------------
Main_DB_Quest00				|L'Enfant de dragon
Main_DB_Quest01				|Le temple de Miraak
Main_DB_Quest02				|Le destin des Skaals
Main_DB_Quest03				|La purification des pierres
Main_DB_Quest04				|La voie de la connaissance
Main_DB_Quest05				|Le Cultivateur des Hommes
Main_DB_Quest06				|Au sommet d'Apocrypha
----------------------------------------------------------------------------
CC01_Quest00				|Les morts sans repos
CC01_Quest01				|Une vie à la ferme
